0001|29744|La Unión Nueva|res_city_mx_chp_073|
0001|29753|Santa Rita|res_city_mx_chp_072|
0001|29760|Xitoltepeque|res_city_mx_chp_047|
0001|29770|Guadalupe I|res_city_mx_chp_013|
0001|29795|San José Chacté|res_city_mx_chp_112|
0001|29816|Jesús Carranza|res_city_mx_chp_076|
0001|29840|San Isidro|res_city_mx_chp_014|
0001|29853|Jolik-alum|res_city_mx_chp_022|
0001|29863|Meonho|res_city_mx_chp_049|
0001|29876|Canolal|res_city_mx_chp_026|
0001|29884|Las Limas|res_city_mx_chp_066|
0001|29890|Don Pedro|res_city_mx_chp_082|
0001|29903|Arroyo Palenque|res_city_mx_chp_077|
0001|29917|Esperanza Ocotal|res_city_mx_chp_096|
0001|29920|Santa Bárbara|res_city_mx_chp_100|
0001|29926|San Vicente|res_city_mx_chp_109|
0001|29943|San Miguel Catarraya|res_city_mx_chp_031|
0001|29954|Ramón F. Balboa|res_city_mx_chp_059|
0001|29962|El Retiro|res_city_mx_chp_065|
0001|29974|Benito Juárez Centro|res_city_mx_chp_050|
0001|29990|Boca del Río Chico|res_city_mx_chp_016|
0001|30078|Corrala|res_city_mx_chp_019|res_locality_mx_chp_01
0001|30115|Doctor Manuel Velasco Suárez|res_city_mx_chp_104|
0001|30129|El Raizal|res_city_mx_chp_030|
0001|30150|Las Champas|res_city_mx_chp_034|
0001|30166|Francisco Villa|res_city_mx_chp_099|
0001|30170|San Fermín|res_city_mx_chp_041|
0001|30223|Sagrado Corazón|res_city_mx_chp_106|
0001|30232|Jerusalén|res_city_mx_chp_052|
0001|30357|Zacualpa|res_city_mx_chp_075|
0001|30362|El Altillo|res_city_mx_chp_020|
0001|30434|Aurora Cintal|res_city_mx_chp_046|res_locality_mx_chp_06
0001|30491|Josefa Ortiz de Domínguez|res_city_mx_chp_108|
0001|30515|Las Piedritas|res_city_mx_chp_097|
0001|30535|Embarcadero de Jericó (El Siglo)|res_city_mx_chp_107|
0001|30553|Miramar|res_city_mx_chp_069|
0001|30568|El Rosario|res_city_mx_chp_051|
0001|30580|7 de Abril|res_city_mx_chp_003|
0001|30638|Playón|res_city_mx_chp_071|
0001|30649|La Florida|res_city_mx_chp_040|
0001|30650|Jardín las Flores|res_city_mx_chp_054|
0001|30670|FOVISSSTE Guadalupe|res_city_mx_chp_037|
0001|30680|Esquipulas|res_city_mx_chp_103|
0001|30740|Coapantes|res_city_mx_chp_089|res_locality_mx_chp_03
0001|30849|Pino Suárez|res_city_mx_chp_087|
0001|30860|San Judas Tadeo|res_city_mx_chp_055|
0001|30870|San Juan|res_city_mx_chp_102|
0001|30884|Talquián|res_city_mx_chp_105|
0001|30890|Rosario Ixtal|res_city_mx_chp_015|res_locality_mx_chp_16
0001|30900|Los Olivos|res_city_mx_chp_057|res_locality_mx_chp_24
0001|30925|Reforma|res_city_mx_chp_053|
0001|30953|El Cercadillo|res_city_mx_chp_010|
0001|30970|Los Pérez|res_city_mx_chp_070|
0001|30986|Vega de Guerrero|res_city_mx_chp_080|
0001|31160|Caminos del Valle|res_city_mx_chh_019|res_locality_mx_chh_02
0001|31607|Campo Número Quince|res_city_mx_chh_017|
0001|31646|Campo Setenta y Tres|res_city_mx_chh_054|
0001|31653|Punta Oriente|res_city_mx_chh_004|
0001|31680|Guadalupe|res_city_mx_chh_031|
0001|31704|Praderas del Oriente|res_city_mx_chh_050|res_locality_mx_chh_07
0001|31825|El Bismarck|res_city_mx_chh_005|
0001|31861|Santa Rosa|res_city_mx_chh_013|
0001|31884|Barrio Sur|res_city_mx_chh_010|
0001|31904|Oscar Ornelas|res_city_mx_chh_025|
0001|31977|Campo Cincuenta y Seis (Tres Hermanos)|res_city_mx_chh_048|
0001|31980|El Pajarito|res_city_mx_chh_063|
0001|32565|Cerrada de los Cipreses|res_city_mx_chh_037|res_locality_mx_chh_06
0001|32830|El Ágate|res_city_mx_chh_001|
0001|32912|Bosques de San Jerónimo|res_city_mx_chh_002|res_locality_mx_chh_11
0001|33013|Central de Abastos|res_city_mx_chh_021|res_locality_mx_chh_04
0001|33123|Rancho Llorarás|res_city_mx_chh_055|
0001|33130|Camino Real|res_city_mx_chh_045|
0001|33163|Guadalupe de la Saucería|res_city_mx_chh_057|
0001|33185|Las Truchas|res_city_mx_chh_027|
0001|33210|El Pozo|res_city_mx_chh_009|
0001|33255|Rancho Dominguez|res_city_mx_chh_018|
0001|33264|Santo Toribio|res_city_mx_chh_026|
0001|33293|Las Juntas|res_city_mx_chh_012|
0001|33390|San Isidro|res_city_mx_chh_030|
0001|33408|San José de Valenzuela|res_city_mx_chh_008|
0001|33467|Los Placeres|res_city_mx_chh_046|
0001|33470|Presidentes|res_city_mx_chh_029|
0001|33506|Barrio 5 de Mayo|res_city_mx_chh_059|
0001|33600|Colonia Flores|res_city_mx_chh_011|
0001|33637|Santa Ofelia|res_city_mx_chh_062|
0001|33656|San Juan Bautista|res_city_mx_chh_067|
0001|33670|Panamericana|res_city_mx_chh_016|
0001|33824|El Quijote|res_city_mx_chh_032|res_locality_mx_chh_05
0001|33924|La Haciendita Fiereña|res_city_mx_chh_003|
0001|33956|Agua de Pinole|res_city_mx_chh_039|
0001|33996|San Pedro|res_city_mx_chh_014|
0001|34000|Victoria de Durango Centro|res_city_mx_dur_005|res_locality_mx_dur_01
0001|34570|El Durazno|res_city_mx_dur_034|
0001|34614|Piedra de Amolar|res_city_mx_dur_032|
0001|34694|El Limoncito|res_city_mx_dur_026|
0001|34894|Loma Bonita|res_city_mx_dur_038|res_locality_mx_dur_10
0001|35140|Aquiles Serdán|res_city_mx_dur_007|
0001|35174|La Gloria|res_city_mx_dur_012|
0001|35214|Venustiano Carranza (El Seis)|res_city_mx_dur_013|
0001|35383|El Molino|res_city_mx_dur_017|
0001|35413|El Alto de los Lirios|res_city_mx_dur_009|
0001|35633|La Vinata|res_city_mx_dur_035|
0001|35803|Juan Pablo II|res_city_mx_dur_004|
0001|35917|Los Tenamastes|res_city_mx_dur_027|
0001|36000|Guanajuato Centro|res_city_mx_gua_015|res_locality_mx_gua_05
0001|36275|Parque Industrial Santa Fe Ampliación|res_city_mx_gua_037|
0001|36405|Residencial Valle del Laurel|res_city_mx_gua_025|res_locality_mx_gua_29
0001|36440|La Cruz del Derramadero|res_city_mx_gua_031|
0001|36495|Agua Nueva|res_city_mx_gua_008|
0001|36554|El Zapote del Milagro|res_city_mx_gua_017|res_locality_mx_gua_06
0001|36720|Real Bugambilias|res_city_mx_gua_027|res_locality_mx_gua_09
0001|36906|Los Sabinos|res_city_mx_gua_023|res_locality_mx_gua_19
0001|36960|Nuevo Camino Real|res_city_mx_gua_012|res_locality_mx_gua_20
0001|36998|Carmen Rodríguez|res_city_mx_gua_016|
0001|37293|Sierra Nogal|res_city_mx_gua_020|res_locality_mx_gua_07
0001|37616|San José de Rancho Nuevo (Los Arrieros)|res_city_mx_gua_030|
0001|37834|Peñuelitas (Peñuelas)|res_city_mx_gua_014|
0001|37867|Ama Lur|res_city_mx_gua_029|
0001|37893|Polo Habitacional La Esmeralda|res_city_mx_gua_003|
0001|37915|Mineral de Pozos|res_city_mx_gua_033|
0001|37924|La Lagunita|res_city_mx_gua_043|
0001|37933|Agua Zarca del Pinal|res_city_mx_gua_045|
0001|37967|Bordo la Luz|res_city_mx_gua_013|
0001|38033|Villas Vicenza|res_city_mx_gua_007|res_locality_mx_gua_03
0001|38185|Villas de Castillo|res_city_mx_gua_005|
0001|38260|Punta Norte|res_city_mx_gua_044|res_locality_mx_gua_26
0001|38403|Las Haciendas|res_city_mx_gua_042|res_locality_mx_gua_23
0001|38487|Aarón García Tamayo (San Ramón)|res_city_mx_gua_018|
0001|38495|Las Cuatas|res_city_mx_gua_011|
0001|38596|La Tortuga|res_city_mx_gua_010|
0001|38796|Centude|res_city_mx_gua_038|
0001|38836|El Planchón|res_city_mx_gua_021|res_locality_mx_gua_08
0001|38906|Celeste|res_city_mx_gua_028|
0001|38984|Lindavista|res_city_mx_gua_041|res_locality_mx_gua_18
